d,h,m,mem
0,0,0,42
0,0,5,39
0,0,10,36
0,0,15,34
0,0,20,31
0,0,25,28
0,0,30,26
0,0,35,23
0,0,40,20
0,0,45,18
0,0,50,15
0,0,55,12
0,1,0,10
0,1,5,9
0,1,10,9
0,1,15,9
0,1,20,9
0,1,25,8
0,1,30,8
0,1,35,8
0,1,40,8
0,1,45,7
0,1,50,7
0,1,55,7
0,2,0,7
0,2,5,6
0,2,10,6
0,2,15,6
0,2,20,5
0,2,25,5
0,2,30,5
0,2,35,4
0,2,40,4
0,2,45,4
0,2,50,3
0,2,55,3
0,3,0,3
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,2
0,3,25,2
0,3,30,2
0,3,35,2
0,3,40,2
0,3,45,2
0,3,50,2
0,3,55,2
0,4,0,2
0,4,5,1
0,4,10,1
0,4,15,1
0,4,20,1
0,4,25,1
0,4,30,1
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,0
0,5,10,0
0,5,15,0
0,5,20,1
0,5,25,1
0,5,30,1
0,5,35,1
0,5,40,2
0,5,45,2
0,5,50,2
0,5,55,2
0,6,0,3
0,6,5,3
0,6,10,4
0,6,15,5
0,6,20,6
0,6,25,7
0,6,30,8
0,6,35,9
0,6,40,10
0,6,45,11
0,6,50,12
0,6,55,13
0,7,0,14
0,7,5,15
0,7,10,16
0,7,15,18
0,7,20,19
0,7,25,20
0,7,30,22
0,7,35,23
0,7,40,24
0,7,45,26
0,7,50,27
0,7,55,28
0,8,0,30
0,8,5,31
0,8,10,33
0,8,15,34
0,8,20,36
0,8,25,37
0,8,30,39
0,8,35,41
0,8,40,42
0,8,45,44
0,8,50,45
0,8,55,47
0,9,0,49
0,9,5,49
0,9,10,50
0,9,15,50
0,9,20,51
0,9,25,51
0,9,30,52
0,9,35,53
0,9,40,53
0,9,45,54
0,9,50,54
0,9,55,55
0,10,0,56
0,10,5,55
0,10,10,55
0,10,15,55
0,10,20,55
0,10,25,54
0,10,30,54
0,10,35,54
0,10,40,54
0,10,45,53
0,10,50,53
0,10,55,53
0,11,0,53
0,11,5,53
0,11,10,53
0,11,15,53
0,11,20,54
0,11,25,54
0,11,30,54
0,11,35,54
0,11,40,55
0,11,45,55
0,11,50,55
0,11,55,55
0,12,0,56
0,12,5,56
0,12,10,56
0,12,15,56
0,12,20,57
0,12,25,57
0,12,30,57
0,12,35,57
0,12,40,58
0,12,45,58
0,12,50,58
0,12,55,58
0,13,0,59
0,13,5,59
0,13,10,59
0,13,15,60
0,13,20,60
0,13,25,60
0,13,30,61
0,13,35,61
0,13,40,61
0,13,45,62
0,13,50,62
0,13,55,62
0,14,0,63
0,14,5,62
0,14,10,62
0,14,15,62
0,14,20,62
0,14,25,62
0,14,30,62
0,14,35,62
0,14,40,62
0,14,45,62
0,14,50,62
0,14,55,62
0,15,0,62
0,15,5,62
0,15,10,62
0,15,15,62
0,15,20,62
0,15,25,62
0,15,30,62
0,15,35,62
0,15,40,62
0,15,45,62
0,15,50,62
0,15,55,62
0,16,0,62
0,16,5,62
0,16,10,62
0,16,15,62
0,16,20,62
0,16,25,62
0,16,30,63
0,16,35,63
0,16,40,63
0,16,45,63
0,16,50,63
0,16,55,63
0,17,0,64
0,17,5,65
0,17,10,66
0,17,15,67
0,17,20,68
0,17,25,69
0,17,30,71
0,17,35,72
0,17,40,73
0,17,45,74
0,17,50,75
0,17,55,76
0,18,0,78
0,18,5,79
0,18,10,81
0,18,15,83
0,18,20,85
0,18,25,87
0,18,30,89
0,18,35,90
0,18,40,92
0,18,45,94
0,18,50,96
0,18,55,98
0,19,0,100
0,19,5,99
0,19,10,99
0,19,15,99
0,19,20,99
0,19,25,99
0,19,30,99
