d,h,m,mem
0,0,0,59
0,0,5,57
0,0,10,56
0,0,15,54
0,0,20,53
0,0,25,51
0,0,30,50
0,0,35,49
0,0,40,47
0,0,45,46
0,0,50,44
0,0,55,43
0,1,0,42
0,1,5,40
0,1,10,38
0,1,15,37
0,1,20,35
0,1,25,33
0,1,30,32
0,1,35,30
0,1,40,28
0,1,45,27
0,1,50,25
0,1,55,23
0,2,0,22
0,2,5,20
0,2,10,19
0,2,15,18
0,2,20,17
0,2,25,16
0,2,30,15
0,2,35,14
0,2,40,13
0,2,45,12
0,2,50,11
0,2,55,10
0,3,0,9
0,3,5,8
0,3,10,7
0,3,15,6
0,3,20,6
0,3,25,5
0,3,30,4
0,3,35,3
0,3,40,3
0,3,45,2
0,3,50,1
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,1
0,4,25,1
0,4,30,1
0,4,35,1
0,4,40,2
0,4,45,2
0,4,50,2
0,4,55,2
0,5,0,3
0,5,5,4
0,5,10,5
0,5,15,6
0,5,20,7
0,5,25,8
0,5,30,9
0,5,35,10
0,5,40,11
0,5,45,12
0,5,50,13
0,5,55,14
0,6,0,16
0,6,5,18
0,6,10,20
0,6,15,22
0,6,20,24
0,6,25,26
0,6,30,28
0,6,35,30
0,6,40,32
0,6,45,34
0,6,50,36
0,6,55,38
0,7,0,41
0,7,5,42
0,7,10,43
0,7,15,45
0,7,20,46
0,7,25,48
0,7,30,49
0,7,35,50
0,7,40,52
0,7,45,53
0,7,50,55
0,7,55,56
0,8,0,58
0,8,5,58
0,8,10,59
0,8,15,60
0,8,20,61
0,8,25,62
0,8,30,63
0,8,35,63
0,8,40,64
0,8,45,65
0,8,50,66
0,8,55,67
0,9,0,68
0,9,5,68
0,9,10,69
0,9,15,69
0,9,20,70
0,9,25,70
0,9,30,71
0,9,35,71
0,9,40,72
0,9,45,72
0,9,50,73
0,9,55,73
0,10,0,74
0,10,5,74
0,10,10,74
0,10,15,74
0,10,20,74
0,10,25,74
0,10,30,75
0,10,35,75
0,10,40,75
0,10,45,75
0,10,50,75
0,10,55,75
0,11,0,76
0,11,5,76
0,11,10,76
0,11,15,76
0,11,20,77
0,11,25,77
0,11,30,77
0,11,35,77
0,11,40,78
0,11,45,78
0,11,50,78
0,11,55,78
0,12,0,79
0,12,5,79
0,12,10,79
0,12,15,79
0,12,20,79
0,12,25,79
0,12,30,80
0,12,35,80
0,12,40,80
0,12,45,80
0,12,50,80
0,12,55,80
0,13,0,81
0,13,5,81
0,13,10,81
0,13,15,81
0,13,20,81
0,13,25,81
0,13,30,81
0,13,35,81
0,13,40,81
0,13,45,81
0,13,50,81
0,13,55,81
0,14,0,81
0,14,5,81
0,14,10,82
0,14,15,83
0,14,20,83
0,14,25,84
0,14,30,85
0,14,35,85
0,14,40,86
0,14,45,87
0,14,50,87
0,14,55,88
0,15,0,89
0,15,5,89
0,15,10,89
0,15,15,89
0,15,20,89
0,15,25,89
0,15,30,89
0,15,35,89
0,15,40,89
0,15,45,89
0,15,50,89
0,15,55,89
0,16,0,90
0,16,5,90
0,16,10,91
0,16,15,91
0,16,20,92
0,16,25,92
0,16,30,93
0,16,35,93
0,16,40,94
0,16,45,94
0,16,50,95
0,16,55,95
0,17,0,96
0,17,5,96
0,17,10,96
0,17,15,96
0,17,20,96
0,17,25,96
0,17,30,97
0,17,35,97
0,17,40,97
0,17,45,97
0,17,50,97
0,17,55,97
0,18,0,98
0,18,5,98
0,18,10,98
0,18,15,98
0,18,20,98
0,18,25,98
0,18,30,99
0,18,35,99
0,18,40,99
0,18,45,99
0,18,50,99
0,18,55,99
0,19,0,100
0,19,5,99
0,19,10,99
0,19,15,99
0,19,20,99
0,19,25,98
0,19,30,98
0,19,35,98
0,19,40,98
0,19,45,97
0,19,50,97
0,19,55,97
0,20,0,97
0,20,5,96
0,20,10,95
0,20,15,95
0,20,20,94
0,20,25,94
0,20,30,93
0,20,35,92
0,20,40,92
0,20,45,91
0,20,50,91
0,20,55,90
0,21,0,90
0,21,5,89
0,21,10,88
0,21,15,87
0,21,20,86
0,21,25,85
0,21,30,84
0,21,35,83
0,21,40,82
0,21,45,81
0,21,50,80
0,21,55,79
0,22,0,79
0,22,5,77
0,22,10,76
0,22,15,75
0,22,20,73
0,22,25,72
0,22,30,71
0,22,35,69
0,22,40,68
0,22,45,67
0,22,50,65
0,22,55,64
0,23,0,63
0,23,5,61
0,23,10,59
0,23,15,58
0,23,20,56
0,23,25,54
0,23,30,53
0,23,35,51
0,23,40,49
0,23,45,48
0,23,50,46
0,23,55,44
1,0,0,43
1,0,5,41
1,0,10,39
1,0,15,38
1,0,20,36
1,0,25,34
1,0,30,33
1,0,35,31
1,0,40,29
1,0,45,28
1,0,50,26
1,0,55,24
1,1,0,23
1,1,5,21
1,1,10,20
1,1,15,19
1,1,20,18
1,1,25,17
1,1,30,16
1,1,35,15
1,1,40,14
1,1,45,13
1,1,50,12
1,1,55,11
1,2,0,10
1,2,5,9
1,2,10,8
1,2,15,8
1,2,20,7
1,2,25,6
1,2,30,6
1,2,35,5
1,2,40,4
1,2,45,4
1,2,50,3
1,2,55,2
1,3,0,2
1,3,5,1
1,3,10,1
1,3,15,1
1,3,20,1
1,3,25,1
1,3,30,1
1,3,35,0
1,3,40,0
1,3,45,0
1,3,50,0
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,1
1,4,25,1
1,4,30,1
1,4,35,1
1,4,40,2
1,4,45,2
1,4,50,2
1,4,55,2
1,5,0,3
1,5,5,3
1,5,10,4
1,5,15,5
1,5,20,6
1,5,25,6
1,5,30,7
1,5,35,8
1,5,40,9
1,5,45,9
1,5,50,10
1,5,55,11
1,6,0,12
1,6,5,12
1,6,10,13
1,6,15,13
1,6,20,14
1,6,25,14
1,6,30,15
1,6,35,16
1,6,40,16
1,6,45,17
1,6,50,17
1,6,55,18
1,7,0,19
1,7,5,19
1,7,10,19
1,7,15,19
1,7,20,19
1,7,25,19
1,7,30,20
1,7,35,20
1,7,40,20
1,7,45,20
1,7,50,20
1,7,55,20
1,8,0,21
1,8,5,21
1,8,10,21
1,8,15,21
1,8,20,21
1,8,25,21
1,8,30,22
1,8,35,22
1,8,40,22
1,8,45,22
1,8,50,22
1,8,55,22
1,9,0,23
1,9,5,23
1,9,10,23
1,9,15,23
1,9,20,23
1,9,25,23
1,9,30,23
1,9,35,23
1,9,40,23
1,9,45,23
1,9,50,23
1,9,55,23
1,10,0,24
1,10,5,24
1,10,10,24
1,10,15,24
1,10,20,24
1,10,25,24
1,10,30,24
1,10,35,24
1,10,40,24
1,10,45,24
1,10,50,24
1,10,55,24
1,11,0,24
1,11,5,24
1,11,10,24
1,11,15,24
1,11,20,24
1,11,25,24
1,11,30,24
1,11,35,24
1,11,40,24
1,11,45,24
1,11,50,24
1,11,55,24
1,12,0,25
1,12,5,25
1,12,10,25
1,12,15,25
1,12,20,25
1,12,25,25
1,12,30,25
1,12,35,25
1,12,40,25
1,12,45,25
1,12,50,25
1,12,55,25
1,13,0,26
1,13,5,26
1,13,10,26
1,13,15,26
1,13,20,26
1,13,25,26
1,13,30,27
1,13,35,27
1,13,40,27
1,13,45,27
1,13,50,27
1,13,55,27
1,14,0,28
1,14,5,28
1,14,10,28
1,14,15,28
1,14,20,28
1,14,25,28
1,14,30,28
1,14,35,28
1,14,40,28
1,14,45,28
1,14,50,28
1,14,55,28
1,15,0,29
1,15,5,29
1,15,10,29
1,15,15,29
1,15,20,29
1,15,25,29
1,15,30,29
1,15,35,29
1,15,40,29
1,15,45,29
1,15,50,29
1,15,55,29
1,16,0,29
1,16,5,30
1,16,10,31
1,16,15,33
1,16,20,34
1,16,25,35
1,16,30,37
1,16,35,38
1,16,40,39
1,16,45,41
1,16,50,42
1,16,55,43
1,17,0,45
1,17,5,46
1,17,10,48
1,17,15,49
1,17,20,51
1,17,25,52
1,17,30,54
1,17,35,55
1,17,40,57
1,17,45,58
1,17,50,60
1,17,55,61
1,18,0,63
1,18,5,61
1,18,10,60
1,18,15,58
1,18,20,57
1,18,25,55
1,18,30,54
1,18,35,53
1,18,40,51
1,18,45,50
1,18,50,48
1,18,55,47
1,19,0,46
1,19,5,47
1,19,10,49
1,19,15,51
1,19,20,53
1,19,25,54
1,19,30,56
1,19,35,58
1,19,40,60
1,19,45,61
1,19,50,63
1,19,55,65
1,20,0,67
1,20,5,65
1,20,10,64
1,20,15,62
1,20,20,61
1,20,25,59
1,20,30,58
1,20,35,57
1,20,40,55
1,20,45,54
1,20,50,52
1,20,55,51
1,21,0,50
1,21,5,48
1,21,10,47
1,21,15,45
1,21,20,44
1,21,25,42
1,21,30,41
1,21,35,40
1,21,40,38
1,21,45,37
1,21,50,35
1,21,55,34
1,22,0,33
1,22,5,32
1,22,10,31
1,22,15,31
1,22,20,30
1,22,25,30
1,22,30,29
1,22,35,28
1,22,40,28
1,22,45,27
1,22,50,27
1,22,55,26
1,23,0,26
1,23,5,26
1,23,10,26
1,23,15,26
1,23,20,26
1,23,25,26
1,23,30,26
1,23,35,26
1,23,40,26
1,23,45,26
1,23,50,26
1,23,55,26
2,0,0,26
2,0,5,25
2,0,10,24
2,0,15,23
2,0,20,22
2,0,25,21
2,0,30,20
2,0,35,19
2,0,40,18
2,0,45,17
2,0,50,16
2,0,55,15
2,1,0,14
2,1,5,13
2,1,10,12
2,1,15,11
2,1,20,11
2,1,25,10
2,1,30,9
2,1,35,8
2,1,40,8
2,1,45,7
2,1,50,6
2,1,55,5
2,2,0,5
2,2,5,4
2,2,10,4
2,2,15,4
2,2,20,3
2,2,25,3
2,2,30,3
2,2,35,2
2,2,40,2
2,2,45,2
2,2,50,1
2,2,55,1
2,3,0,1
2,3,5,0
2,3,10,0
2,3,15,0
2,3,20,0
2,3,25,0
2,3,30,0
2,3,35,0
2,3,40,0
2,3,45,0
2,3,50,0
2,3,55,0
2,4,0,0
2,4,5,0
2,4,10,0
2,4,15,1
2,4,20,1
2,4,25,1
2,4,30,2
2,4,35,2
2,4,40,2
2,4,45,3
2,4,50,3
2,4,55,3
2,5,0,4
2,5,5,5
2,5,10,6
2,5,15,7
2,5,20,8
2,5,25,9
2,5,30,10
2,5,35,11
2,5,40,12
2,5,45,13
2,5,50,14
2,5,55,15
2,6,0,16
2,6,5,16
2,6,10,17
2,6,15,18
2,6,20,19
2,6,25,19
2,6,30,20
2,6,35,21
2,6,40,22
2,6,45,22
2,6,50,23
2,6,55,24
2,7,0,25
2,7,5,25
2,7,10,25
2,7,15,25
2,7,20,26
2,7,25,26
2,7,30,26
2,7,35,26
2,7,40,27
2,7,45,27
2,7,50,27
2,7,55,27
2,8,0,28
2,8,5,28
2,8,10,28
2,8,15,28
2,8,20,28
2,8,25,28
2,8,30,29
2,8,35,29
2,8,40,29
2,8,45,29
2,8,50,29
2,8,55,29
2,9,0,30
2,9,5,30
2,9,10,30
2,9,15,30
2,9,20,30
2,9,25,30
2,9,30,30
2,9,35,30
2,9,40,30
2,9,45,30
2,9,50,30
2,9,55,30
2,10,0,31
2,10,5,31
2,10,10,31
2,10,15,31
2,10,20,31
2,10,25,31
2,10,30,31
2,10,35,31
2,10,40,31
2,10,45,31
2,10,50,31
2,10,55,31
2,11,0,32
2,11,5,32
2,11,10,32
2,11,15,32
2,11,20,32
2,11,25,32
2,11,30,32
2,11,35,32
2,11,40,32
2,11,45,32
2,11,50,32
2,11,55,32
2,12,0,33
2,12,5,33
2,12,10,33
2,12,15,33
2,12,20,33
2,12,25,33
2,12,30,34
2,12,35,34
2,12,40,34
2,12,45,34
2,12,50,34
2,12,55,34
2,13,0,35
2,13,5,35
2,13,10,35
2,13,15,35
2,13,20,35
2,13,25,35
2,13,30,35
2,13,35,35
2,13,40,35
2,13,45,35
2,13,50,35
2,13,55,35
2,14,0,36
2,14,5,36
2,14,10,36
2,14,15,36
2,14,20,36
2,14,25,36
2,14,30,37
2,14,35,37
2,14,40,37
2,14,45,37
2,14,50,37
2,14,55,37
2,15,0,38
2,15,5,38
2,15,10,38
2,15,15,38
2,15,20,38
2,15,25,38
2,15,30,38
2,15,35,38
2,15,40,38
2,15,45,38
2,15,50,38
2,15,55,38
2,16,0,38
2,16,5,38
2,16,10,38
2,16,15,38
2,16,20,38
2,16,25,38
2,16,30,38
2,16,35,38
2,16,40,38
2,16,45,38
2,16,50,38
2,16,55,38
2,17,0,38
2,17,5,37
2,17,10,37
2,17,15,37
2,17,20,37
2,17,25,37
2,17,30,37
2,17,35,37
2,17,40,37
2,17,45,37
2,17,50,37
2,17,55,37
2,18,0,37
2,18,5,36
2,18,10,36
2,18,15,36
2,18,20,36
2,18,25,36
2,18,30,36
2,18,35,36
2,18,40,36
2,18,45,36
2,18,50,36
2,18,55,36
2,19,0,36
2,19,5,36
2,19,10,36
2,19,15,36
2,19,20,36
2,19,25,36
2,19,30,36
2,19,35,36
2,19,40,36
2,19,45,36
2,19,50,36
