d,h,m,mem
0,0,0,43
0,0,5,41
0,0,10,40
0,0,15,38
0,0,20,37
0,0,25,35
0,0,30,34
0,0,35,33
0,0,40,31
0,0,45,30
0,0,50,28
0,0,55,27
0,1,0,26
0,1,5,24
0,1,10,23
0,1,15,22
0,1,20,21
0,1,25,19
0,1,30,18
0,1,35,17
0,1,40,16
0,1,45,14
0,1,50,13
0,1,55,12
0,2,0,11
0,2,5,10
0,2,10,9
0,2,15,9
0,2,20,8
0,2,25,7
0,2,30,7
0,2,35,6
0,2,40,5
0,2,45,5
0,2,50,4
0,2,55,3
0,3,0,3
0,3,5,2
0,3,10,2
0,3,15,2
0,3,20,2
0,3,25,1
0,3,30,1
0,3,35,1
0,3,40,1
0,3,45,0
0,3,50,0
0,3,55,0
0,4,0,0
0,4,5,0
0,4,10,0
0,4,15,0
0,4,20,0
0,4,25,0
0,4,30,0
0,4,35,0
0,4,40,0
0,4,45,0
0,4,50,0
0,4,55,0
0,5,0,0
0,5,5,0
0,5,10,1
0,5,15,1
0,5,20,2
0,5,25,2
0,5,30,3
0,5,35,3
0,5,40,4
0,5,45,4
0,5,50,5
0,5,55,5
0,6,0,6
0,6,5,6
0,6,10,7
0,6,15,8
0,6,20,9
0,6,25,10
0,6,30,11
0,6,35,12
0,6,40,13
0,6,45,14
0,6,50,15
0,6,55,16
0,7,0,17
0,7,5,18
0,7,10,19
0,7,15,20
0,7,20,21
0,7,25,22
0,7,30,24
0,7,35,25
0,7,40,26
0,7,45,27
0,7,50,28
0,7,55,29
0,8,0,31
0,8,5,31
0,8,10,32
0,8,15,33
0,8,20,33
0,8,25,34
0,8,30,35
0,8,35,35
0,8,40,36
0,8,45,37
0,8,50,37
0,8,55,38
0,9,0,39
0,9,5,39
0,9,10,40
0,9,15,40
0,9,20,41
0,9,25,41
0,9,30,42
0,9,35,42
0,9,40,43
0,9,45,43
0,9,50,44
0,9,55,44
0,10,0,45
0,10,5,45
0,10,10,45
0,10,15,45
0,10,20,46
0,10,25,46
0,10,30,46
0,10,35,46
0,10,40,47
0,10,45,47
0,10,50,47
0,10,55,47
0,11,0,48
0,11,5,48
0,11,10,48
0,11,15,48
0,11,20,48
0,11,25,48
0,11,30,49
0,11,35,49
0,11,40,49
0,11,45,49
0,11,50,49
0,11,55,49
0,12,0,50
0,12,5,50
0,12,10,50
0,12,15,50
0,12,20,50
0,12,25,50
0,12,30,51
0,12,35,51
0,12,40,51
0,12,45,51
0,12,50,51
0,12,55,51
0,13,0,52
0,13,5,52
0,13,10,52
0,13,15,52
0,13,20,52
0,13,25,52
0,13,30,52
0,13,35,52
0,13,40,52
0,13,45,52
0,13,50,52
0,13,55,52
0,14,0,53
0,14,5,52
0,14,10,52
0,14,15,52
0,14,20,52
0,14,25,52
0,14,30,52
0,14,35,51
0,14,40,51
0,14,45,51
0,14,50,51
0,14,55,51
0,15,0,51
0,15,5,51
0,15,10,51
0,15,15,51
0,15,20,51
0,15,25,51
0,15,30,52
0,15,35,52
0,15,40,52
0,15,45,52
0,15,50,52
0,15,55,52
0,16,0,53
0,16,5,53
0,16,10,54
0,16,15,55
0,16,20,55
0,16,25,56
0,16,30,57
0,16,35,57
0,16,40,58
0,16,45,59
0,16,50,59
0,16,55,60
0,17,0,61
0,17,5,61
0,17,10,61
0,17,15,62
0,17,20,62
0,17,25,62
0,17,30,63
0,17,35,63
0,17,40,63
0,17,45,64
0,17,50,64
0,17,55,64
0,18,0,65
0,18,5,64
0,18,10,64
0,18,15,64
0,18,20,64
0,18,25,64
0,18,30,64
0,18,35,64
0,18,40,64
0,18,45,64
0,18,50,64
0,18,55,64
0,19,0,64
0,19,5,64
0,19,10,64
0,19,15,64
0,19,20,64
0,19,25,64
0,19,30,65
0,19,35,65
0,19,40,65
0,19,45,65
0,19,50,65
0,19,55,65
0,20,0,66
0,20,5,66
0,20,10,66
0,20,15,67
0,20,20,67
0,20,25,67
0,20,30,68
0,20,35,68
0,20,40,68
0,20,45,69
0,20,50,69
0,20,55,69
0,21,0,70
0,21,5,70
0,21,10,70
0,21,15,70
0,21,20,70
0,21,25,70
0,21,30,70
0,21,35,70
0,21,40,70
0,21,45,70
0,21,50,70
0,21,55,70
0,22,0,70
0,22,5,69
0,22,10,68
0,22,15,67
0,22,20,66
0,22,25,65
0,22,30,65
0,22,35,64
0,22,40,63
0,22,45,62
0,22,50,61
0,22,55,60
0,23,0,60
0,23,5,60
0,23,10,60
0,23,15,61
0,23,20,61
0,23,25,61
0,23,30,62
0,23,35,62
0,23,40,62
0,23,45,63
0,23,50,63
0,23,55,63
1,0,0,64
1,0,5,61
1,0,10,59
1,0,15,57
1,0,20,55
1,0,25,53
1,0,30,51
1,0,35,48
1,0,40,46
1,0,45,44
1,0,50,42
1,0,55,40
1,1,0,38
1,1,5,36
1,1,10,34
1,1,15,33
1,1,20,31
1,1,25,29
1,1,30,28
1,1,35,26
1,1,40,24
1,1,45,23
1,1,50,21
1,1,55,19
1,2,0,18
1,2,5,17
1,2,10,16
1,2,15,15
1,2,20,14
1,2,25,13
1,2,30,12
1,2,35,11
1,2,40,10
1,2,45,9
1,2,50,8
1,2,55,7
1,3,0,6
1,3,5,5
1,3,10,5
1,3,15,4
1,3,20,4
1,3,25,3
1,3,30,3
1,3,35,2
1,3,40,2
1,3,45,1
1,3,50,1
1,3,55,0
1,4,0,0
1,4,5,0
1,4,10,0
1,4,15,0
1,4,20,0
1,4,25,0
1,4,30,0
1,4,35,0
1,4,40,0
1,4,45,0
1,4,50,0
1,4,55,0
1,5,0,0
1,5,5,0
1,5,10,1
1,5,15,2
1,5,20,3
1,5,25,4
1,5,30,5
1,5,35,5
1,5,40,6
1,5,45,7
1,5,50,8
1,5,55,9
1,6,0,10
1,6,5,11
1,6,10,12
1,6,15,14
1,6,20,15
1,6,25,16
1,6,30,18
1,6,35,19
1,6,40,20
1,6,45,22
1,6,50,23
1,6,55,24
1,7,0,26
1,7,5,27
1,7,10,28
1,7,15,30
1,7,20,31
1,7,25,33
1,7,30,34
1,7,35,35
1,7,40,37
1,7,45,38
1,7,50,40
1,7,55,41
1,8,0,43
1,8,5,44
1,8,10,45
1,8,15,46
1,8,20,47
1,8,25,48
1,8,30,49
1,8,35,50
1,8,40,51
1,8,45,52
1,8,50,53
1,8,55,54
1,9,0,55
1,9,5,55
1,9,10,56
1,9,15,57
1,9,20,58
1,9,25,58
1,9,30,59
1,9,35,60
1,9,40,61
1,9,45,61
1,9,50,62
1,9,55,63
1,10,0,64
1,10,5,64
1,10,10,64
1,10,15,65
1,10,20,65
1,10,25,66
1,10,30,66
1,10,35,66
1,10,40,67
1,10,45,67
1,10,50,68
1,10,55,68
1,11,0,69
1,11,5,68
1,11,10,68
1,11,15,68
1,11,20,68
1,11,25,68
1,11,30,68
1,11,35,68
1,11,40,68
1,11,45,68
1,11,50,68
1,11,55,68
1,12,0,68
1,12,5,67
1,12,10,67
1,12,15,67
1,12,20,67
1,12,25,67
1,12,30,67
1,12,35,67
1,12,40,67
1,12,45,67
1,12,50,67
1,12,55,67
1,13,0,67
1,13,5,66
1,13,10,66
1,13,15,66
1,13,20,65
1,13,25,65
1,13,30,65
1,13,35,64
1,13,40,64
1,13,45,64
1,13,50,63
1,13,55,63
1,14,0,63
1,14,5,63
1,14,10,63
1,14,15,63
1,14,20,63
1,14,25,63
1,14,30,64
1,14,35,64
1,14,40,64
1,14,45,64
1,14,50,64
1,14,55,64
1,15,0,65
1,15,5,65
1,15,10,65
1,15,15,65
1,15,20,65
1,15,25,65
1,15,30,65
1,15,35,65
1,15,40,65
1,15,45,65
1,15,50,65
1,15,55,65
1,16,0,66
1,16,5,66
1,16,10,67
1,16,15,67
1,16,20,68
1,16,25,68
1,16,30,69
1,16,35,70
1,16,40,70
1,16,45,71
1,16,50,71
1,16,55,72
1,17,0,73
1,17,5,73
1,17,10,74
1,17,15,75
1,17,20,76
1,17,25,77
1,17,30,78
1,17,35,78
1,17,40,79
1,17,45,80
1,17,50,81
1,17,55,82
1,18,0,83
1,18,5,83
1,18,10,84
1,18,15,84
1,18,20,85
1,18,25,85
1,18,30,86
1,18,35,86
1,18,40,87
1,18,45,87
1,18,50,88
1,18,55,88
1,19,0,89
1,19,5,89
1,19,10,89
1,19,15,90
1,19,20,90
1,19,25,91
1,19,30,91
1,19,35,91
1,19,40,92
1,19,45,92
1,19,50,93
1,19,55,93
1,20,0,94
1,20,5,93
1,20,10,93
1,20,15,93
1,20,20,93
1,20,25,93
1,20,30,93
1,20,35,93
1,20,40,93
1,20,45,93
1,20,50,93
1,20,55,93
1,21,0,93
1,21,5,92
1,21,10,91
1,21,15,91
1,21,20,90
1,21,25,89
1,21,30,89
1,21,35,88
1,21,40,87
1,21,45,87
1,21,50,86
1,21,55,85
1,22,0,85
1,22,5,83
1,22,10,82
1,22,15,81
1,22,20,80
1,22,25,79
1,22,30,78
1,22,35,76
1,22,40,75
1,22,45,74
1,22,50,73
1,22,55,72
1,23,0,71
1,23,5,69
1,23,10,67
1,23,15,66
1,23,20,64
1,23,25,62
1,23,30,61
1,23,35,59
1,23,40,57
1,23,45,56
1,23,50,54
1,23,55,52
2,0,0,51
2,0,5,49
2,0,10,47
2,0,15,45
2,0,20,44
2,0,25,42
2,0,30,40
2,0,35,38
2,0,40,37
2,0,45,35
2,0,50,33
2,0,55,31
2,1,0,30
2,1,5,28
2,1,10,27
2,1,15,26
2,1,20,24
2,1,25,23
2,1,30,22
2,1,35,20
2,1,40,19
2,1,45,18
2,1,50,16
2,1,55,15
2,2,0,14
2,2,5,13
2,2,10,12
2,2,15,11
2,2,20,10
2,2,25,9
2,2,30,9
2,2,35,8
2,2,40,7
2,2,45,6
2,2,50,5
2,2,55,4
2,3,0,4
2,3,5,3
2,3,10,3
2,3,15,3
2,3,20,2
2,3,25,2
2,3,30,2
2,3,35,1
2,3,40,1
2,3,45,1
2,3,50,0
2,3,55,0
2,4,0,0
2,4,5,0
2,4,10,0
2,4,15,0
2,4,20,0
2,4,25,0
2,4,30,0
2,4,35,0
2,4,40,0
2,4,45,0
2,4,50,0
2,4,55,0
2,5,0,0
2,5,5,0
2,5,10,0
2,5,15,0
2,5,20,0
2,5,25,0
2,5,30,1
2,5,35,1
2,5,40,1
2,5,45,1
2,5,50,1
2,5,55,1
2,6,0,2
2,6,5,2
2,6,10,2
2,6,15,2
2,6,20,2
2,6,25,2
2,6,30,3
2,6,35,3
2,6,40,3
2,6,45,3
2,6,50,3
2,6,55,3
2,7,0,4
2,7,5,4
2,7,10,4
2,7,15,4
2,7,20,5
2,7,25,5
2,7,30,5
2,7,35,5
2,7,40,6
2,7,45,6
2,7,50,6
2,7,55,6
2,8,0,7
2,8,5,7
2,8,10,7
2,8,15,7
2,8,20,7
2,8,25,7
2,8,30,8
2,8,35,8
2,8,40,8
2,8,45,8
2,8,50,8
2,8,55,8
2,9,0,9
2,9,5,9
2,9,10,9
2,9,15,9
2,9,20,9
2,9,25,9
2,9,30,9
2,9,35,9
2,9,40,9
2,9,45,9
2,9,50,9
2,9,55,9
2,10,0,10
2,10,5,10
2,10,10,10
2,10,15,10
2,10,20,11
2,10,25,11
2,10,30,11
2,10,35,11
2,10,40,12
2,10,45,12
2,10,50,12
2,10,55,12
2,11,0,13
2,11,5,13
2,11,10,13
2,11,15,13
2,11,20,13
2,11,25,13
2,11,30,13
2,11,35,13
2,11,40,13
2,11,45,13
2,11,50,13
2,11,55,13
2,12,0,14
2,12,5,13
2,12,10,13
2,12,15,13
2,12,20,13
2,12,25,13
2,12,30,13
2,12,35,12
2,12,40,12
2,12,45,12
2,12,50,12
2,12,55,12
2,13,0,12
2,13,5,12
2,13,10,12
2,13,15,12
2,13,20,12
2,13,25,12
2,13,30,12
2,13,35,12
2,13,40,12
2,13,45,12
2,13,50,12
2,13,55,12
2,14,0,13
2,14,5,13
2,14,10,13
2,14,15,13
2,14,20,13
2,14,25,13
2,14,30,13
2,14,35,13
2,14,40,13
2,14,45,13
2,14,50,13
2,14,55,13
2,15,0,13
2,15,5,13
2,15,10,13
2,15,15,13
2,15,20,13
2,15,25,13
2,15,30,13
2,15,35,13
2,15,40,13
2,15,45,13
2,15,50,13
2,15,55,13
2,16,0,14
2,16,5,14
2,16,10,14
2,16,15,15
2,16,20,15
2,16,25,16
2,16,30,16
2,16,35,16
2,16,40,17
2,16,45,17
2,16,50,18
2,16,55,18
2,17,0,19
2,17,5,19
2,17,10,20
2,17,15,21
2,17,20,22
2,17,25,23
2,17,30,24
2,17,35,24
2,17,40,25
2,17,45,26
2,17,50,27
2,17,55,28
2,18,0,29
2,18,5,29
2,18,10,30
2,18,15,31
2,18,20,31
2,18,25,32
2,18,30,33
2,18,35,33
2,18,40,34
2,18,45,35
2,18,50,35
2,18,55,36
2,19,0,37
2,19,5,37
2,19,10,37
2,19,15,38
2,19,20,38
2,19,25,39
2,19,30,39
2,19,35,39
2,19,40,40
2,19,45,40
2,19,50,41
2,19,55,41
2,20,0,42
2,20,5,42
2,20,10,42
2,20,15,42
2,20,20,42
2,20,25,42
2,20,30,43
2,20,35,43
2,20,40,43
2,20,45,43
2,20,50,43
2,20,55,43
2,21,0,44
2,21,5,43
2,21,10,43
2,21,15,43
2,21,20,43
2,21,25,43
2,21,30,43
2,21,35,43
2,21,40,43
2,21,45,43
2,21,50,43
2,21,55,43
2,22,0,43
2,22,5,42
2,22,10,42
2,22,15,41
2,22,20,41
2,22,25,40
2,22,30,40
2,22,35,40
2,22,40,39
2,22,45,39
2,22,50,38
2,22,55,38
2,23,0,38
2,23,5,37
2,23,10,36
2,23,15,35
2,23,20,35
2,23,25,34
2,23,30,33
2,23,35,32
2,23,40,32
2,23,45,31
2,23,50,30
2,23,55,29
3,0,0,29
3,0,5,28
3,0,10,27
3,0,15,26
3,0,20,25
3,0,25,24
3,0,30,24
3,0,35,23
3,0,40,22
3,0,45,21
3,0,50,20
3,0,55,19
3,1,0,19
3,1,5,18
3,1,10,17
3,1,15,17
3,1,20,16
3,1,25,15
3,1,30,15
3,1,35,14
3,1,40,13
3,1,45,13
3,1,50,12
3,1,55,11
3,2,0,11
3,2,5,10
3,2,10,10
3,2,15,9
3,2,20,9
3,2,25,8
3,2,30,8
3,2,35,7
3,2,40,7
3,2,45,6
3,2,50,6
3,2,55,5
3,3,0,5
3,3,5,4
