m,s,mem
0,0,3
0,30,2
1,0,1
1,30,1
2,0,1
2,30,1
3,0,1
3,30,2
4,0,3
4,30,3
5,0,5
5,30,6
6,0,9
6,30,11
7,0,13
7,30,16
8,0,18
8,30,22
9,0,25
9,30,28
10,0,33
10,30,36
11,0,40
11,30,43
12,0,47
12,30,51
13,0,55
13,30,57
14,0,60
14,30,63
15,0,66
15,30,69
16,0,70
16,30,73
17,0,75
17,30,78
18,0,80
18,30,81
19,0,82
19,30,83
20,0,85
20,30,86
21,0,86
21,30,86
22,0,86
22,30,86
23,0,87
23,30,86
24,0,85
24,30,84
25,0,83
25,30,82
26,0,81
26,30,81
27,0,81
27,30,81
28,0,82
28,30,81
29,0,80
29,30,78
30,0,77
30,30,76
31,0,73
31,30,70
32,0,65
32,30,62
33,0,59
33,30,54
34,0,52
34,30,49
35,0,47
35,30,45
36,0,42
36,30,41
37,0,40
37,30,39
38,0,38
38,30,36
39,0,36
39,30,36
40,0,36
40,30,36
41,0,36
41,30,36
42,0,36
42,30,36
43,0,36
43,30,36
44,0,36
44,30,36
45,0,36
45,30,37
46,0,36
46,30,36
47,0,35
47,30,35
48,0,34
48,30,34
49,0,32
49,30,31
50,0,30
50,30,29
51,0,29
51,30,26
52,0,24
52,30,21
53,0,19
53,30,18
54,0,15
54,30,13
55,0,11
55,30,9
56,0,8
56,30,6
57,0,5
57,30,4
58,0,3
58,30,3
59,0,2
59,30,2
