m,s,mem
0,0,4
0,30,3
1,0,3
1,30,3
2,0,3
2,30,3
3,0,4
3,30,6
4,0,7
4,30,9
5,0,11
5,30,13
6,0,16
6,30,18
7,0,20
7,30,23
8,0,26
8,30,30
9,0,33
9,30,36
10,0,41
10,30,44
11,0,48
11,30,51
12,0,54
12,30,59
13,0,62
13,30,64
14,0,67
14,30,70
15,0,73
15,30,76
16,0,77
16,30,79
17,0,80
17,30,82
18,0,84
18,30,84
19,0,84
19,30,85
20,0,85
20,30,86
21,0,85
21,30,85
22,0,85
22,30,85
23,0,85
23,30,84
24,0,84
24,30,83
25,0,82
25,30,81
26,0,80
26,30,80
27,0,80
27,30,79
28,0,79
28,30,78
29,0,76
29,30,73
30,0,71
30,30,69
31,0,65
31,30,63
32,0,59
32,30,56
33,0,53
33,30,50
34,0,49
34,30,47
35,0,45
35,30,44
36,0,42
36,30,40
37,0,39
37,30,37
38,0,35
38,30,33
39,0,33
39,30,32
40,0,32
40,30,31
41,0,30
41,30,30
42,0,30
42,30,30
43,0,30
43,30,30
44,0,30
44,30,30
45,0,30
45,30,30
46,0,29
46,30,29
47,0,28
47,30,27
48,0,26
48,30,26
49,0,24
49,30,22
50,0,20
50,30,19
51,0,18
51,30,19
52,0,19
52,30,20
53,0,20
53,30,21
54,0,18
54,30,16
55,0,13
55,30,11
56,0,10
56,30,8
57,0,7
57,30,6
58,0,5
58,30,4
59,0,3
59,30,2
