m,s,mem
0,0,100
0,30,99
1,0,99
1,30,99
2,0,98
2,30,98
3,0,97
3,30,96
4,0,95
4,30,94
5,0,93
5,30,91
6,0,90
6,30,88
7,0,87
7,30,85
8,0,83
8,30,81
9,0,79
9,30,77
10,0,75
10,30,72
11,0,70
11,30,67
12,0,65
12,30,62
13,0,60
13,30,57
14,0,55
14,30,52
15,0,50
15,30,47
16,0,44
16,30,42
17,0,39
17,30,37
18,0,34
18,30,32
19,0,29
19,30,27
20,0,25
20,30,22
21,0,20
21,30,18
22,0,16
22,30,14
23,0,12
23,30,11
24,0,9
24,30,8
25,0,6
25,30,5
26,0,4
26,30,3
27,0,2
27,30,1
28,0,1
28,30,1
29,0,1
29,30,1
30,0,1
30,30,1
31,0,1
31,30,1
32,0,1
32,30,1
33,0,2
33,30,3
34,0,4
34,30,5
35,0,6
35,30,8
36,0,9
36,30,11
37,0,12
37,30,14
38,0,16
38,30,18
39,0,20
39,30,22
40,0,24
40,30,27
41,0,29
41,30,32
42,0,34
42,30,37
43,0,39
43,30,42
44,0,44
44,30,47
45,0,49
45,30,52
46,0,55
46,30,57
47,0,60
47,30,62
48,0,65
48,30,67
49,0,70
49,30,72
50,0,74
50,30,77
51,0,79
51,30,81
52,0,83
52,30,85
53,0,87
53,30,88
54,0,90
54,30,91
55,0,93
55,30,94
56,0,95
56,30,96
57,0,97
57,30,98
58,0,98
58,30,99
59,0,99
59,30,99
