m,s,mem
0,0,100
0,30,100
1,0,100
1,30,100
2,0,100
2,30,100
3,0,100
3,30,100
4,0,100
4,30,100
5,0,100
5,30,100
6,0,100
6,30,100
7,0,100
7,30,100
8,0,100
8,30,100
9,0,100
9,30,100
10,0,100
10,30,100
11,0,100
11,30,100
12,0,100
12,30,100
13,0,100
13,30,100
14,0,100
14,30,100
15,0,100
15,30,100
16,0,100
16,30,100
17,0,100
17,30,100
18,0,100
18,30,100
19,0,100
19,30,100
20,0,100
20,30,100
21,0,100
21,30,100
22,0,100
22,30,100
23,0,100
23,30,100
24,0,100
24,30,100
25,0,100
25,30,100
26,0,100
26,30,100
27,0,100
27,30,100
28,0,100
28,30,100
29,0,100
29,30,100
30,0,100
30,30,100
31,0,100
31,30,100
32,0,100
32,30,100
33,0,100
33,30,100
34,0,100
34,30,100
35,0,100
35,30,100
36,0,100
36,30,100
37,0,100
37,30,100
38,0,100
38,30,100
39,0,100
39,30,100
40,0,100
40,30,100
41,0,100
41,30,100
42,0,100
42,30,100
43,0,100
43,30,100
44,0,100
44,30,100
45,0,100
45,30,100
46,0,100
46,30,100
47,0,100
47,30,100
48,0,100
48,30,100
49,0,100
49,30,100
50,0,100
50,30,100
51,0,100
51,30,100
52,0,100
52,30,100
53,0,100
53,30,100
54,0,100
54,30,100
55,0,100
55,30,100
56,0,100
56,30,100
57,0,100
57,30,100
58,0,100
58,30,100
59,0,100
59,30,100
