m,s,mem
0,0,10
0,30,100
1,0,100
1,30,100
2,0,100
2,30,100
3,0,100
3,30,100
4,0,100
4,30,100
5,0,100
5,30,100
6,0,100
6,30,100
7,0,100
7,30,100
8,0,100
8,30,100
9,0,100
9,30,100
10,0,100
10,30,100
11,0,100
11,30,100
12,0,100
12,30,100
13,0,100
13,30,100
14,0,100
14,30,100
15,0,100
15,30,100
16,0,100
16,30,100
17,0,100
17,30,100
18,0,100
18,30,100
19,0,100
19,30,100
20,0,100
20,30,100
21,0,100
21,30,100
22,0,100
22,30,100
23,0,100
23,30,100
24,0,100
24,30,100
25,0,100
25,30,100
26,0,100
26,30,100
27,0,100
27,30,100
28,0,100
28,30,100
29,0,100
29,30,10
30,0,10
30,30,10
31,0,10
31,30,10
32,0,10
32,30,10
33,0,10
33,30,10
34,0,10
34,30,10
35,0,10
35,30,10
36,0,10
36,30,10
37,0,10
37,30,10
38,0,10
38,30,10
39,0,10
39,30,10
40,0,10
40,30,10
41,0,10
41,30,10
42,0,10
42,30,10
43,0,10
43,30,10
44,0,10
44,30,10
45,0,10
45,30,10
46,0,10
46,30,10
47,0,10
47,30,10
48,0,10
48,30,10
49,0,10
49,30,10
50,0,10
50,30,10
51,0,10
51,30,10
52,0,10
52,30,10
53,0,10
53,30,10
54,0,10
54,30,10
55,0,10
55,30,10
56,0,10
56,30,10
57,0,10
57,30,10
58,0,10
58,30,10
59,0,10
59,30,10
