m,s,mem
0,0,10
0,30,10
1,0,10
1,30,10
2,0,10
2,30,10
3,0,10
3,30,10
4,0,10
4,30,10
5,0,10
5,30,10
6,0,10
6,30,10
7,0,10
7,30,10
8,0,10
8,30,10
9,0,10
9,30,10
10,0,10
10,30,10
11,0,10
11,30,10
12,0,10
12,30,10
13,0,10
13,30,10
14,0,10
14,30,10
15,0,10
15,30,10
16,0,10
16,30,10
17,0,10
17,30,10
18,0,10
18,30,10
19,0,10
19,30,10
20,0,10
20,30,10
21,0,10
21,30,10
22,0,10
22,30,10
23,0,10
23,30,10
24,0,10
24,30,10
25,0,10
25,30,10
26,0,10
26,30,10
27,0,10
27,30,10
28,0,10
28,30,10
29,0,10
29,30,10
30,0,10
30,30,100
31,0,100
31,30,100
32,0,100
32,30,100
33,0,100
33,30,100
34,0,100
34,30,100
35,0,100
35,30,100
36,0,100
36,30,100
37,0,100
37,30,100
38,0,100
38,30,100
39,0,100
39,30,100
40,0,100
40,30,100
41,0,100
41,30,100
42,0,100
42,30,100
43,0,100
43,30,100
44,0,100
44,30,100
45,0,100
45,30,100
46,0,100
46,30,100
47,0,100
47,30,100
48,0,100
48,30,100
49,0,100
49,30,100
50,0,100
50,30,100
51,0,100
51,30,100
52,0,100
52,30,100
53,0,100
53,30,100
54,0,100
54,30,100
55,0,100
55,30,100
56,0,100
56,30,100
57,0,100
57,30,100
58,0,100
58,30,100
59,0,100
59,30,10
