m,s,mem
0,0,4
0,30,3
1,0,2
1,30,2
2,0,1
2,30,1
3,0,1
3,30,1
4,0,1
4,30,1
5,0,1
5,30,2
6,0,4
6,30,5
7,0,7
7,30,9
8,0,11
8,30,12
9,0,13
9,30,13
10,0,15
10,30,16
11,0,16
11,30,17
12,0,17
12,30,18
13,0,19
13,30,19
14,0,19
14,30,20
15,0,20
15,30,21
16,0,21
16,30,21
17,0,22
17,30,22
18,0,23
18,30,23
19,0,23
19,30,24
20,0,24
20,30,25
21,0,25
21,30,25
22,0,26
22,30,26
23,0,27
23,30,28
24,0,29
24,30,30
25,0,31
25,30,33
26,0,34
26,30,37
27,0,38
27,30,40
28,0,43
28,30,44
29,0,47
29,30,48
30,0,50
30,30,53
31,0,54
31,30,57
32,0,58
32,30,60
33,0,63
33,30,64
34,0,65
34,30,66
35,0,67
35,30,69
36,0,69
36,30,69
37,0,69
37,30,69
38,0,70
38,30,72
39,0,74
39,30,77
40,0,79
40,30,82
41,0,82
41,30,83
42,0,84
42,30,85
43,0,87
43,30,86
44,0,86
44,30,86
45,0,85
45,30,85
46,0,84
46,30,83
47,0,81
47,30,79
48,0,78
48,30,77
49,0,73
49,30,71
50,0,67
50,30,65
51,0,63
51,30,57
52,0,54
52,30,49
53,0,45
53,30,42
54,0,36
54,30,33
55,0,28
55,30,24
56,0,21
56,30,17
57,0,15
57,30,11
58,0,9
58,30,7
59,0,5
59,30,4
