m,s,mem
0,0,4
0,30,3
1,0,2
1,30,2
2,0,1
2,30,1
3,0,1
3,30,1
4,0,1
4,30,2
5,0,3
5,30,4
6,0,6
6,30,8
7,0,9
7,30,12
8,0,14
8,30,17
9,0,19
9,30,21
10,0,24
10,30,26
11,0,28
11,30,30
12,0,31
12,30,34
13,0,36
13,30,36
14,0,37
14,30,38
15,0,39
15,30,40
16,0,40
16,30,41
17,0,41
17,30,42
18,0,43
18,30,43
19,0,43
19,30,43
20,0,43
20,30,44
21,0,44
21,30,44
22,0,45
22,30,45
23,0,46
23,30,45
24,0,45
24,30,45
25,0,44
25,30,44
26,0,44
26,30,44
27,0,44
27,30,44
28,0,45
28,30,46
29,0,47
29,30,49
30,0,50
30,30,52
31,0,52
31,30,52
32,0,53
32,30,53
33,0,54
33,30,55
34,0,58
34,30,59
35,0,61
35,30,64
36,0,64
36,30,64
37,0,65
37,30,65
38,0,66
38,30,68
39,0,71
39,30,75
40,0,78
40,30,83
41,0,84
41,30,85
42,0,87
42,30,89
43,0,91
43,30,90
44,0,90
44,30,90
45,0,90
45,30,90
46,0,89
46,30,88
47,0,87
47,30,85
48,0,84
48,30,83
49,0,79
49,30,77
50,0,73
50,30,71
51,0,69
51,30,63
52,0,60
52,30,55
53,0,51
53,30,48
54,0,42
54,30,38
55,0,33
55,30,29
56,0,26
56,30,22
57,0,19
57,30,16
58,0,13
58,30,11
59,0,8
59,30,7
