m,s,mem
0,0,50
0,30,52
1,0,55
1,30,57
2,0,60
2,30,62
3,0,65
3,30,67
4,0,70
4,30,72
5,0,75
5,30,77
6,0,79
6,30,81
7,0,83
7,30,85
8,0,87
8,30,88
9,0,90
9,30,91
10,0,93
10,30,94
11,0,95
11,30,96
12,0,97
12,30,98
13,0,98
13,30,99
14,0,99
14,30,99
15,0,100
15,30,99
16,0,99
16,30,99
17,0,98
17,30,98
18,0,97
18,30,96
19,0,95
19,30,94
20,0,93
20,30,91
21,0,90
21,30,88
22,0,87
22,30,85
23,0,83
23,30,81
24,0,79
24,30,77
25,0,75
25,30,72
26,0,70
26,30,67
27,0,65
27,30,62
28,0,60
28,30,57
29,0,55
29,30,52
30,0,50
30,30,47
31,0,44
31,30,42
32,0,39
32,30,37
33,0,34
33,30,32
34,0,29
34,30,27
35,0,25
35,30,22
36,0,20
36,30,18
37,0,16
37,30,14
38,0,12
38,30,11
39,0,9
39,30,8
40,0,6
40,30,5
41,0,4
41,30,3
42,0,2
42,30,1
43,0,1
43,30,1
44,0,1
44,30,1
45,0,1
45,30,1
46,0,1
46,30,1
47,0,1
47,30,1
48,0,2
48,30,3
49,0,4
49,30,5
50,0,6
50,30,8
51,0,9
51,30,11
52,0,12
52,30,14
53,0,16
53,30,18
54,0,20
54,30,22
55,0,24
55,30,27
56,0,29
56,30,32
57,0,34
57,30,37
58,0,39
58,30,42
59,0,44
59,30,47
